Squeezing [dB],X,P,Bipartition ID,Bipartition 1,Bipartition 2
3.010299956639812,n_x_0,n_p_0,440,"[1, 4, 5, 6, 8, 9]","[2, 3, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,441,"[2, 4, 5, 6, 8, 9]","[1, 3, 7, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,442,"[1, 2, 4, 5, 6, 8, 9]","[3, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,443,"[3, 4, 5, 6, 8, 9]","[1, 2, 7, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,444,"[1, 3, 4, 5, 6, 8, 9]","[2, 7, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,445,"[2, 3, 4, 5, 6, 8, 9]","[1, 7, 10, 11, 12, 13, 14, 15, 16]"
1.2493873660829993,n_x_0,n_p_0,446,"[1, 2, 3, 4, 5, 6, 8, 9]","[7, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0-n_x_6,n_p_0-n_p_1-n_p_3,411,"[3, 4, 5, 8, 9]","[1, 2, 6, 7, 10, 11, 12, 13, 14, 15, 16]"
4.559319556497244,n_x_0+n_x_2,n_p_5-n_p_8+n_p_20,415,"[6, 8, 9]","[1, 2, 3, 4, 5, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0+n_x_4,n_p_0-n_p_6,432,"[1, 5, 6, 8, 9]","[2, 3, 4, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0-n_p_2,450,"[1, 2, 7, 8, 9]","[3, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0+n_x_6,n_p_0-n_p_8,433,"[2, 5, 6, 8, 9]","[1, 3, 4, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0-n_x_6,n_p_0-n_p_8,451,"[3, 7, 8, 9]","[1, 2, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0-n_p_8,453,"[2, 3, 7, 8, 9]","[1, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,454,"[1, 2, 3, 7, 8, 9]","[4, 5, 6, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0-n_x_2,n_p_0-n_p_19,452,"[1, 3, 7, 8, 9]","[2, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0+n_x_1,n_p_0+n_p_4+n_p_20,416,"[1, 6, 8, 9]","[2, 3, 4, 5, 7, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0-n_x_2,n_p_0+n_p_19,457,"[2, 4, 7, 8, 9]","[1, 3, 5, 6, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,458,"[1, 2, 4, 7, 8, 9]","[3, 5, 6, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_6,459,"[3, 4, 7, 8, 9]","[1, 2, 5, 6, 10, 11, 12, 13, 14, 15, 16]"
