Squeezing [dB],X,P,Bipartition ID,Bipartition 1,Bipartition 2
3.979400087,n_x_0-n_x_1-n_x_2,n_p_0-n_p_19,276,"[1, 3, 5, 9]","[2, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_8-n_p_0,277,"[2, 3, 5, 9]","[1, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_0-n_p_8,278,"[1, 2, 3, 5, 9]","[4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
6.020599913,n_x_0+n_x_5,n_p_4-n_p_8,271,"[5, 9]","[1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0-n_x_2-n_x_1,n_p_0+n_p_8,280,"[1, 4, 5, 9]","[2, 3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0-n_x_1-n_x_2,n_p_0+n_p_19,281,"[2, 4, 5, 9]","[1, 3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0-n_x_2,n_p_0-n_p_6,282,"[1, 2, 4, 5, 9]","[3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_0+n_p_6,283,"[3, 4, 5, 9]","[1, 2, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_0+n_p_4,284,"[1, 3, 4, 5, 9]","[2, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_0+n_p_6,285,"[2, 3, 4, 5, 9]","[1, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0,n_p_0,286,"[1, 2, 3, 4, 5, 9]","[6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
4.259687323,n_x_0+n_x_2-n_x_4+n_x_8-n_x_25,n_p_0-n_p_5-n_p_17,255,[9],"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0+n_x_6,n_p_4+n_p_0-n_p_7,288,"[1, 6, 9]","[2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0-n_x_8-n_x_7,n_p_6-n_p_0,289,"[2, 6, 9]","[1, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.010299957,n_x_0-n_x_2,n_p_6-n_p_0,290,"[1, 2, 6, 9]","[3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.881801714,n_x_0-n_x_1-n_x_11+n_x_2-n_x_12+n_x_6,n_p_8-n_p_0-n_p_5+n_p_7-n_p_20,291,"[3, 6, 9]","[1, 2, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0-n_x_1-n_x_2,n_p_0-n_p_19,292,"[1, 3, 6, 9]","[2, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_8-n_p_0,293,"[2, 3, 6, 9]","[1, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.590219426,n_x_0-n_x_1,n_p_0-n_p_8,294,"[1, 2, 3, 6, 9]","[4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
4.259687323,n_x_0+n_x_1+n_x_3-n_x_7+n_x_22,n_p_0+n_p_6-n_p_20,63,[7],"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0-n_x_2-n_x_1,n_p_0+n_p_8,296,"[1, 4, 6, 9]","[2, 3, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400087,n_x_0-n_x_1-n_x_2,n_p_0+n_p_19,297,"[2, 4, 6, 9]","[1, 3, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
